Time,nSpikesPerBurstIn10s_20190603_slice2,phaseNumber_20190603_slice2,nSpikesPerBurstIn10s_20190603_slice3,phaseNumber_20190603_slice3,nSpikesPerBurstIn10s_20190603_slice6,phaseNumber_20190603_slice6,nSpikesPerBurstIn10s_20190605_slice3,phaseNumber_20190605_slice3,nSpikesPerBurstIn10s_20190605_slice4,phaseNumber_20190605_slice4,nSpikesPerBurstIn10s_20190606_slice5,phaseNumber_20190606_slice5,nSpikesPerBurstIn10s_20190606_slice7,phaseNumber_20190606_slice7
22 min,27.9090909090909,2,10.9655172413793,2,6.6875,2,17.75,2,32.2,2,17.7142857142857,2,10.35,2
23 min,28.8181818181818,2,10.8181818181818,2,11.9090909090909,2,18.85,2,25.7241379310345,2,18.6315789473684,2,11.8636363636364,2
24 min,31.6,2,10.7407407407407,2,10.5,2,18.64,2,31.1363636363636,2,17.5454545454545,2,15.047619047619,2
25 min,29.4444444444444,2,11.5217391304348,2,11.8888888888889,2,15.5,2,28.0384615384615,2,18.6470588235294,2,9.27272727272727,2
26 min,26,2,11,2,16.4285714285714,2,11.030303030303,2,37.4761904761905,2,14.448275862069,2,10.1923076923077,2
27 min,20.8571428571429,2,12.1578947368421,2,8.90909090909091,2,12.96875,2,43.8333333333333,2,22,2,13.75,2
28 min,31.1,2,9.5,2,11.4545454545455,2,21.4,2,34.75,2,18.2857142857143,2,12.4814814814815,2
29 min,29.1,2,12.6153846153846,2,11.4,2,23.952380952381,2,42.0526315789474,2,22.0526315789474,2,8.06451612903226,2
30 min,29.5454545454545,3,11.5416666666667,3,10,3,25.6190476190476,3,30.2962962962963,3,24.6470588235294,3,10.71875,3
31 min,19.6666666666667,3,7.96551724137931,3,11.8,3,21.2105263157895,3,10.1428571428571,3,21.5,3,17.6086956521739,3
32 min,25.0833333333333,3,8.25806451612903,3,17.5714285714286,3,23.625,3,41.1052631578947,3,20.1052631578947,3,15.4583333333333,3
33 min,28.0909090909091,3,10.4583333333333,3,10.2,3,32.9230769230769,3,38.3,3,17.5217391304348,3,10.8823529411765,3
34 min,21.4285714285714,3,9.38095238095238,3,11.3333333333333,3,18.8571428571429,3,29.6666666666667,3,19.6521739130435,3,17.4210526315789,3
35 min,27.0909090909091,3,10.25,3,9.63636363636364,3,3.15789473684211,3,34.2727272727273,3,22.4736842105263,3,30.4615384615385,3
36 min,35.6666666666667,3,10.5357142857143,3,10.3,3,11.6666666666667,3,37.1578947368421,3,24.8,3,20.5625,3
37 min,20.9333333333333,3,9.14285714285714,3,12.75,3,11.1666666666667,3,25.8965517241379,3,17.2083333333333,3,17.7894736842105,3
38 min,28.2727272727273,3,10.25,3,10.3,3,20.3333333333333,3,24.8571428571429,3,21.5789473684211,3,13.5555555555556,3
39 min,28.0909090909091,3,14.3333333333333,3,9.81818181818182,3,16.45,3,26.6153846153846,3,17.4583333333333,3,11.12,3
40 min,15.5555555555556,3,11.4,3,12.3,3,24.55,3,24.5555555555556,3,20.4210526315789,3,8.2258064516129,3
41 min,25.7692307692308,3,9.76190476190476,3,26,3,26.2727272727273,3,24.4583333333333,3,19.7222222222222,3,8.12903225806452,3
42 min,28.0909090909091,3,7.59090909090909,3,13.2,3,17.5357142857143,3,NaN,3,23.2777777777778,3,10.1538461538462,3
43 min,28.3333333333333,3,14,3,9.72727272727273,3,28.2777777777778,3,7.6,3,20.0869565217391,3,10.5333333333333,3
44 min,21.4666666666667,3,9.86363636363636,3,13.8888888888889,3,25.3529411764706,3,20.8,3,21.4117647058824,3,12.0689655172414,3
45 min,32.7272727272727,3,7.80645161290323,3,10.4,3,25.9090909090909,3,24.5,3,16.88,3,9.77777777777778,3
46 min,29,3,10,3,13.5714285714286,3,26.9473684210526,3,14.4705882352941,3,20,3,11.6,3
47 min,33.1111111111111,3,8.30434782608696,3,16.875,3,23.5714285714286,3,27.4814814814815,3,17.75,3,12.0689655172414,3
48 min,25.8571428571429,3,12,3,28.25,3,26,3,30.5185185185185,3,23.8333333333333,3,12.2916666666667,3
49 min,29.5833333333333,3,9.05263157894737,3,9.30769230769231,3,21.2222222222222,3,24.5142857142857,3,18.3478260869565,3,8.59375,3
