Time,oscIndex3_20190603_slice2,phaseNumber_20190603_slice2,oscIndex3_20190603_slice3,phaseNumber_20190603_slice3,oscIndex3_20190603_slice6,phaseNumber_20190603_slice6,oscIndex3_20190605_slice3,phaseNumber_20190605_slice3,oscIndex3_20190605_slice4,phaseNumber_20190605_slice4,oscIndex3_20190606_slice5,phaseNumber_20190606_slice5,oscIndex3_20190606_slice7,phaseNumber_20190606_slice7
23 min,NaN,2,0.956768751271371,2,0.889705848601403,2,0.925732077425202,2,0.896784793349986,2,0.933211644923208,2,0.784757240277059,2
24 min,0.805369079585277,2,0.878377928407638,2,0.721392589662387,2,0.935950034046153,2,0.515320228703857,2,0.918517748572566,2,0.889108833175269,2
25 min,NaN,2,0.893393263720685,2,0.897727080685293,2,0.959304259793537,2,0.880193824595556,2,0.961397053584482,2,0.677090857913749,2
26 min,NaN,2,0.941291574724132,2,0.904254868995407,2,0.905913731226463,2,0.92414036097857,2,0.596149220961872,2,0.680850722263654,2
27 min,NaN,2,0.980246767254454,2,0.740206135535962,2,0.918965438202644,2,0.954868899917999,2,0.929181821177073,2,0.885245788937241,2
28 min,NaN,2,0.802083024713538,2,0.664285233503373,2,0.970588222619915,2,0.898299829029927,2,0.895081910294102,2,0.747252478438512,2
29 min,NaN,2,0.981608705969125,2,0.861904547064008,2,0.900382992736264,2,0.896243277460904,2,0.876258840091633,2,0.67617776812354,2
30 min,NaN,3,0.87129793638681,3,0.898875775476419,3,0.944444079599253,3,0.764043254606616,3,0.951806682791661,3,0.62922363583482,3
31 min,NaN,3,0.897727164749458,3,0.889705816735048,3,0.888562488675894,3,0.911110651260414,3,0.84794497435199,3,0.802400737974221,3
32 min,NaN,3,0.93849455080897,3,0.985815602597228,3,0.98214091069403,3,0.889449977111088,3,0.945255464657508,3,0.7048343187111,3
33 min,0.905109159610915,3,0.932573427232145,3,0.840425401997549,3,0.954703581931396,3,0.755693472656568,3,0.712193469954755,3,0.652351575802527,3
34 min,NaN,3,0.891949038471133,3,0.681818127354009,3,0.643205101056575,3,0.773060799575691,3,0.957552929176863,3,0.791616311483806,3
35 min,NaN,3,0.978571412017075,3,0.924881992044244,3,0.919707964463088,3,0.953216148650012,3,0.860126276157396,3,0.85074588435629,3
36 min,NaN,3,0.932642410270876,3,0.975489881379442,3,0.899999624692626,3,0.887596735603896,3,0.967883206944489,3,0.72782861444422,3
37 min,NaN,3,0.961139539354065,3,0.96106988519016,3,0.756521729565324,3,0.870061444546677,3,0.909090288093707,3,0.761904662846797,3
38 min,NaN,3,0.86928909879327,3,0.713286486000784,3,0.89033182184296,3,0.578802772452339,3,0.918650667478706,3,0.651315749094413,3
39 min,NaN,3,0.81293705728318,3,NaN,3,0.934173471698921,3,0.833821941545687,3,0.900656168352925,3,0.9396581444903,3
40 min,NaN,3,0.931428501591632,3,NaN,3,0.841666163286751,3,0.798274665090112,3,0.933993028528571,3,0.574193531250944,3
41 min,NaN,3,0.979379446639199,3,0.947618898416588,3,0.919587259834208,3,0.954022889208764,3,0.532499731763962,3,0.866665844708918,3
42 min,NaN,3,0.764598539458464,3,0.904076113457303,3,0.916411441898909,3,0.594357196446292,3,0.523850922439497,3,0.903845803829298,3
43 min,NaN,3,0.879073467165377,3,NaN,3,0.846364496908258,3,NaN,3,0.940087993236444,3,0.674302273367936,3
44 min,NaN,3,0.91806705053634,3,0.579660752992311,3,0.937261720044709,3,0.932038778722166,3,0.563870791974845,3,0.706789859912848,3
45 min,NaN,3,0.867149242291134,3,0.722943651489042,3,0.82127655474312,3,0.941378505756992,3,0.959999467753932,3,0.859943967689925,3
46 min,0.905263133924653,3,0.905667543412336,3,0.942028955596314,3,0.94907405594646,3,0.730370953466895,3,0.971590611610244,3,0.83519880319107,3
47 min,NaN,3,0.867389956884571,3,0.890475225197876,3,0.918926507770202,3,0.848415979804375,3,0.796946937126657,3,0.816326353945289,3
48 min,0.744186030354057,3,0.821378293182782,3,0.725490015634884,3,0.867436253442764,3,0.841169889289175,3,0.548444275699243,3,0.874999394484993,3
49 min,NaN,3,0.833332470440459,3,NaN,3,0.921222695718419,3,0.920166843897805,3,0.798525641789504,3,0.777573525156939,3
