Time,nSpikesPerBurstIn10s_20190603_slice7,phaseNumber_20190603_slice7,nSpikesPerBurstIn10s_20190603_slice9,phaseNumber_20190603_slice9,nSpikesPerBurstIn10s_20190604_slice2,phaseNumber_20190604_slice2,nSpikesPerBurstIn10s_20190604_slice3,phaseNumber_20190604_slice3,nSpikesPerBurstIn10s_20190604_slice4,phaseNumber_20190604_slice4,nSpikesPerBurstIn10s_20190604_slice7,phaseNumber_20190604_slice7,nSpikesPerBurstIn10s_20190606_slice1,phaseNumber_20190606_slice1,nSpikesPerBurstIn10s_20190606_slice2,phaseNumber_20190606_slice2,nSpikesPerBurstIn10s_20190606_slice3,phaseNumber_20190606_slice3,nSpikesPerBurstIn10s_20190607_slice4,phaseNumber_20190607_slice4
10 min,18.6315789473684,2,5.76923076923077,2,10.0526315789474,2,8,2,16.7142857142857,2,20.4166666666667,2,7.93333333333333,2,14.7142857142857,2,8.72222222222222,2,9.59375,2
11 min,17.5,2,8.46153846153846,2,6.76923076923077,2,11.5238095238095,2,12.9166666666667,2,17.2142857142857,2,18.4705882352941,2,19.9,2,10.2307692307692,2,10.5,2
12 min,11.5,2,10.5,2,8.34615384615385,2,11.3333333333333,2,14.75,2,12.3157894736842,2,16.1428571428571,2,18.5217391304348,2,11.6428571428571,2,12.2413793103448,2
13 min,13.1176470588235,2,8.2,2,10.4,2,7.8,2,17.3684210526316,2,10.4545454545455,2,14.2857142857143,2,15.6521739130435,2,10.1764705882353,2,10.0714285714286,2
14 min,11.5384615384615,2,6.30769230769231,2,11.9411764705882,2,11.7058823529412,2,17.3636363636364,2,14,2,24,2,15.2380952380952,2,7.90909090909091,2,11.0344827586207,2
15 min,13.7619047619048,2,9.36363636363636,2,9.78260869565217,2,11.15,2,16.7058823529412,2,13,2,21.25,2,17.4166666666667,2,8.86363636363636,2,13.9230769230769,2
16 min,10.5666666666667,2,7.07142857142857,2,8.59090909090909,2,10.1666666666667,2,17.1764705882353,2,12.9375,2,18.7777777777778,2,18.2857142857143,2,6.76923076923077,2,13.84,2
17 min,16.7619047619048,2,6.14285714285714,2,10.6,2,8,2,14.72,2,10.95,2,19,2,17.0869565217391,2,8.42857142857143,2,12.75,2
18 min,15.3333333333333,2,8.875,2,9.37037037037037,2,8.2,2,19.2666666666667,2,13,2,19,2,11.3333333333333,2,9.29411764705882,2,16.2272727272727,2
19 min,21.7058823529412,2,9.08333333333333,2,8.14814814814815,2,10.5238095238095,2,14.5294117647059,2,14.6666666666667,2,24.9375,2,16.4090909090909,2,8.77777777777778,2,15.9047619047619,2
20 min,13.6363636363636,2,8.22222222222222,2,7.8,2,12.4,2,17.3636363636364,2,14.1875,2,17.68,2,14.6818181818182,2,9,2,12.2142857142857,2
21 min,11.5757575757576,2,12.4444444444444,2,8.7,2,9.8695652173913,2,15.9473684210526,2,12.625,2,21.9411764705882,2,16.6666666666667,2,8.15384615384615,2,12.0689655172414,2
22 min,11.3448275862069,2,5.46153846153846,2,13,2,7.9,2,12.6296296296296,2,12.1764705882353,2,24.0588235294118,2,11.4615384615385,2,7.91428571428571,2,11.5666666666667,2
23 min,12.0769230769231,2,9.66666666666667,2,8.21052631578947,2,11.4,2,12.04,2,15.2666666666667,2,23.5294117647059,2,15.8260869565217,2,7.18181818181818,2,16.64,2
24 min,15,2,9.2,2,8.94444444444444,2,9.65,2,21.6363636363636,2,12.1333333333333,2,19.9545454545455,2,9.95454545454546,2,8.68181818181818,2,16.7727272727273,2
25 min,12.9666666666667,2,13.1428571428571,2,9.78947368421053,2,9.38888888888889,2,18.5555555555556,2,11.2857142857143,2,26.8666666666667,2,17.7272727272727,2,6,2,15.625,2
26 min,14.6071428571429,2,9.18181818181818,2,6.68,2,13.8,2,16.2666666666667,2,14.6153846153846,2,23.6842105263158,2,15.6521739130435,2,8.75,2,15.5925925925926,2
27 min,14.5238095238095,2,6.5,2,7.46153846153846,2,10.5714285714286,2,10.3181818181818,2,12.8,2,26.6666666666667,2,17.4347826086957,2,11.375,2,11.78125,2
28 min,14.6666666666667,2,10.2222222222222,2,7.58333333333333,2,10.8421052631579,2,16.4090909090909,2,14,2,28.9285714285714,2,16.68,2,11.2307692307692,2,14.3913043478261,2
29 min,13.0967741935484,2,7.63636363636364,2,6.9,2,9.21052631578947,2,23.5714285714286,2,13.5833333333333,2,28.6875,2,21.4117647058824,2,9.0625,2,14,2
30 min,15.2608695652174,3,11.9,3,6.91666666666667,3,13.0714285714286,3,13.7058823529412,3,13.6923076923077,3,31.5,3,20.2105263157895,3,7.13636363636364,3,16.037037037037,3
31 min,11.96875,3,12.625,3,8.61111111111111,3,10.5789473684211,3,12,3,11.1428571428571,3,25.5,3,17.6363636363636,3,10.1764705882353,3,18.8181818181818,3
32 min,17.8695652173913,3,12.2,3,10.125,3,9.61111111111111,3,13.7777777777778,3,13.4166666666667,3,38.5,3,18.2727272727273,3,13.4230769230769,3,21.25,3
33 min,11.8571428571429,3,8.57142857142857,3,7.18181818181818,3,8.36842105263158,3,13,3,14.1428571428571,3,33.8666666666667,3,18.2272727272727,3,8.04,3,17.4782608695652,3
34 min,15.1538461538462,3,9,3,7.75,3,7.28571428571429,3,21.3,3,18.5,3,29.4705882352941,3,17.1904761904762,3,8.95,3,12.6896551724138,3
