Time,oscPeriod1Ms_20190603_slice7,phaseNumber_20190603_slice7,oscPeriod1Ms_20190603_slice9,phaseNumber_20190603_slice9,oscPeriod1Ms_20190604_slice2,phaseNumber_20190604_slice2,oscPeriod1Ms_20190604_slice3,phaseNumber_20190604_slice3,oscPeriod1Ms_20190604_slice4,phaseNumber_20190604_slice4,oscPeriod1Ms_20190604_slice7,phaseNumber_20190604_slice7,oscPeriod1Ms_20190606_slice1,phaseNumber_20190606_slice1,oscPeriod1Ms_20190606_slice2,phaseNumber_20190606_slice2,oscPeriod1Ms_20190606_slice3,phaseNumber_20190606_slice3,oscPeriod1Ms_20190607_slice4,phaseNumber_20190607_slice4
19 min,510,2,410,2,580,2,500,2,460,2,460,2,360,2,430,2,440,2,450,2
20 min,500,2,470,2,620,2,530,2,500,2,480,2,400,2,420,2,420,2,440,2
21 min,500,2,430,2,580,2,460,2,510,2,450,2,820,2,420,2,410,2,440,2
22 min,490,2,530,2,0,2,470,2,510,2,470,2,840,2,430,2,450,2,450,2
23 min,500,2,400,2,610,2,540,2,480,2,480,2,830,2,420,2,430,2,440,2
24 min,490,2,470,2,590,2,530,2,460,2,460,2,820,2,410,2,420,2,440,2
25 min,490,2,420,2,570,2,540,2,490,2,480,2,790,2,420,2,440,2,440,2
26 min,500,2,450,2,590,2,490,2,470,2,470,2,820,2,430,2,430,2,440,2
27 min,500,2,400,2,590,2,550,2,490,2,460,2,810,2,430,2,410,2,430,2
28 min,490,2,420,2,560,2,520,2,500,2,480,2,1210,2,430,2,460,2,440,2
29 min,500,2,410,2,580,2,520,2,550,2,460,2,370,2,420,2,430,2,440,2
30 min,490,3,420,3,560,3,540,3,530,3,480,3,1230,3,430,3,400,3,430,3
31 min,500,3,390,3,580,3,530,3,480,3,460,3,1260,3,430,3,400,3,430,3
32 min,500,3,350,3,640,3,540,3,440,3,460,3,1220,3,440,3,440,3,430,3
33 min,490,3,380,3,600,3,530,3,540,3,470,3,1250,3,440,3,410,3,440,3
34 min,500,3,640,3,610,3,530,3,490,3,470,3,1260,3,430,3,400,3,430,3
35 min,500,3,410,3,600,3,530,3,530,3,490,3,0,3,430,3,420,3,440,3
36 min,500,3,420,3,570,3,690,3,470,3,470,3,1240,3,430,3,430,3,430,3
37 min,500,3,400,3,620,3,510,3,530,3,480,3,0,3,440,3,390,3,440,3
38 min,500,3,390,3,580,3,530,3,450,3,460,3,2810,3,420,3,420,3,430,3
39 min,500,3,400,3,610,3,520,3,530,3,460,3,1690,3,430,3,440,3,440,3
40 min,520,3,410,3,540,3,500,3,490,3,460,3,0,3,0,3,440,3,440,3
41 min,500,3,430,3,570,3,440,3,570,3,480,3,2050,3,0,3,430,3,440,3
42 min,490,3,420,3,630,3,510,3,520,3,480,3,0,3,340,3,400,3,430,3
43 min,520,3,430,3,610,3,480,3,550,3,470,3,0,3,420,3,420,3,450,3
