Time,oscIndex1_20190603_slice7,phaseNumber_20190603_slice7,oscIndex1_20190603_slice9,phaseNumber_20190603_slice9,oscIndex1_20190604_slice2,phaseNumber_20190604_slice2,oscIndex1_20190604_slice3,phaseNumber_20190604_slice3,oscIndex1_20190604_slice4,phaseNumber_20190604_slice4,oscIndex1_20190604_slice7,phaseNumber_20190604_slice7,oscIndex1_20190606_slice1,phaseNumber_20190606_slice1,oscIndex1_20190606_slice2,phaseNumber_20190606_slice2,oscIndex1_20190606_slice3,phaseNumber_20190606_slice3,oscIndex1_20190607_slice4,phaseNumber_20190607_slice4
-8 min,0.964266452015978,1,0.901081352373674,1,0.989916268984197,1,0.935603029737158,1,0.986906941635434,1,0.982876689751964,1,0.868578033326579,1,0.969436053510231,1,0.994700928355604,1,0.999163272848865,1
-7 min,0.931375388012527,1,0.864932396257172,1,0.99089440923885,1,0.937430739355658,1,0.986405597438663,1,0.995824426220111,1,0.41302899323529,1,0.977590393244652,1,0.98524563091681,1,0.996884657854355,1
-6 min,0.960248279983047,1,0.93631136068046,1,0.993403960625465,1,0.947016167887476,1,0.967963286763408,1,0.994881543443223,1,0.632588337626159,1,0.979030440988834,1,0.99435066194417,1,0.991796702112859,1
-5 min,0.94988619077432,1,0.883817838967817,1,0.996648501697851,1,0.895587955704136,1,0.985415267452581,1,0.99720853002454,1,0.6443751339502,1,0.971583344841497,1,0.963051815106918,1,0.998143163564861,1
-4 min,0.947419066609662,1,0.911285547850653,1,0.992328118002155,1,0.916229127462573,1,0.980028746070027,1,0.991692562345338,1,0.713892848344348,1,0.985956265729828,1,0.993535381767023,1,0.996948682460963,1
-3 min,0.926513414311781,1,0.904758728607086,1,0.996245294735818,1,0.925444776088505,1,0.98848044984432,1,0.994256821949293,1,0.701210858126434,1,0.959059650414293,1,0.959884256333118,1,1,1
-2 min,0.90893029514843,1,0.895959076109381,1,0.987812491026985,1,0.890106900815005,1,0.99491019248154,1,0.990899422385575,1,0.709453989410229,1,0.969381501403443,1,0.972674825989776,1,0.990004308247767,1
-1 min,0.943407697554009,1,0.861918738281389,1,0.991427901337551,1,0.929065516183411,1,0.970297396907143,1,0.99026474851275,1,0.768864506375781,1,0.9850715845174,1,0.963167492630084,1,0.997552931978622,1
0 min,0.948071676168348,2,0.900565103980255,2,0.988578527002643,2,0.935660794790567,2,0.98425667844251,2,0.992136616081664,2,0.78326362529408,2,0.960070627200155,2,0.992396532373514,2,0.996690714189792,2
1 min,0.943195268748032,2,0.914222521582309,2,0.992751473268189,2,0.949935164414641,2,0.992885510708112,2,0.978431499434713,2,0.811067255689963,2,0.983694599356733,2,0.980670307450589,2,0.99934977532229,2
