Time,nSpikesPerBurst_20190603_slice7,phaseNumber_20190603_slice7,nSpikesPerBurst_20190603_slice9,phaseNumber_20190603_slice9,nSpikesPerBurst_20190604_slice2,phaseNumber_20190604_slice2,nSpikesPerBurst_20190604_slice3,phaseNumber_20190604_slice3,nSpikesPerBurst_20190604_slice4,phaseNumber_20190604_slice4,nSpikesPerBurst_20190604_slice7,phaseNumber_20190604_slice7,nSpikesPerBurst_20190606_slice1,phaseNumber_20190606_slice1,nSpikesPerBurst_20190606_slice2,phaseNumber_20190606_slice2,nSpikesPerBurst_20190606_slice3,phaseNumber_20190606_slice3,nSpikesPerBurst_20190607_slice4,phaseNumber_20190607_slice4
-7 min,11.6315789473684,1,6,1,6.7741935483871,1,13.0952380952381,1,10.7272727272727,1,8.71052631578947,1,20.1304347826087,1,16.44,1,14.9411764705882,1,7.31818181818182,1
-6 min,13.2820512820513,1,5.72727272727273,1,7.54545454545455,1,11.2413793103448,1,12.1052631578947,1,11.8,1,16.047619047619,1,19.3684210526316,1,14.1111111111111,1,7.3448275862069,1
-5 min,12.5405405405405,1,4.26666666666667,1,7.6875,1,12.3333333333333,1,11.46875,1,12.5263157894737,1,12.4230769230769,1,18.047619047619,1,11.6666666666667,1,6.29166666666667,1
-4 min,17.1785714285714,1,7.57142857142857,1,7.80645161290323,1,9.7,1,10.44,1,14.1428571428571,1,15.2857142857143,1,15.2962962962963,1,12.9411764705882,1,7.73913043478261,1
-3 min,12.0625,1,10.1,1,7.62962962962963,1,8.38461538461539,1,11.375,1,16.6470588235294,1,15.9411764705882,1,18.4782608695652,1,8.20833333333333,1,7.5,1
-2 min,10.1621621621622,1,6.5,1,7.54166666666667,1,8.75,1,16.3181818181818,1,14.2666666666667,1,10.9615384615385,1,16.5454545454545,1,8.8695652173913,1,8.33333333333333,1
-1 min,13.0294117647059,1,6.42857142857143,1,7.88,1,11.3333333333333,1,11.3333333333333,1,12.35,1,18.6470588235294,1,20.6666666666667,1,9.17391304347826,1,7.02941176470588,1
0 min,8.38095238095238,2,9,2,9.71428571428571,2,11.8,2,12.6363636363636,2,17.4117647058824,2,14.35,2,16.2857142857143,2,12.08,2,7.44,2
1 min,11.6363636363636,2,5.46666666666667,2,8.5,2,11.3913043478261,2,18.8636363636364,2,12.7368421052632,2,10.6923076923077,2,17.1538461538462,2,11,2,7.91666666666667,2
2 min,13.3142857142857,2,5.77777777777778,2,6.68965517241379,2,8.45454545454546,2,16.8823529411765,2,16.4375,2,14.5714285714286,2,10.96,2,9.44444444444444,2,8.56,2
3 min,11.0857142857143,2,4.375,2,7.85714285714286,2,11.6875,2,15.0909090909091,2,16.8823529411765,2,19.6428571428571,2,19.5,2,9.42105263157895,2,7.8,2
4 min,10.9189189189189,2,10.6,2,7.43478260869565,2,11.0454545454545,2,12.3448275862069,2,10.9,2,15.8421052631579,2,15.1538461538462,2,9.875,2,7.96296296296296,2
5 min,12.7837837837838,2,5.9375,2,4,2,8.3125,2,13.1666666666667,2,18.3125,2,13.3913043478261,2,17.76,2,13.6,2,12.4,2
6 min,11.0967741935484,2,8.23076923076923,2,7.42857142857143,2,9.16666666666667,2,19.7272727272727,2,17,2,14.88,2,17.48,2,9.39285714285714,2,8.4,2
7 min,10.741935483871,2,7.25,2,8.65384615384615,2,11,2,15.0625,2,12.8181818181818,2,23.0714285714286,2,15.5833333333333,2,8.05263157894737,2,12,2
8 min,11.0540540540541,2,7.86666666666667,2,7.9375,2,12.6470588235294,2,14.7647058823529,2,14.8125,2,15.952380952381,2,16.92,2,11.7692307692308,2,13.25,2
9 min,9.65853658536585,2,9.3,2,8.37931034482759,2,11,2,12.7142857142857,2,21.8,2,23.4666666666667,2,12.9354838709677,2,7.28571428571429,2,10.40625,2
10 min,11.9047619047619,2,5.76923076923077,2,9.65,2,8,2,16.0454545454545,2,20.4166666666667,2,7.93333333333333,2,13.4838709677419,2,8.72222222222222,2,9.36363636363636,2
11 min,10.5151515151515,2,8.46153846153846,2,6.76923076923077,2,9.2,2,12.1153846153846,2,17.2142857142857,2,18.4705882352941,2,19.9,2,10.1851851851852,2,10.16,2
12 min,9.42307692307692,2,10.5,2,8.34615384615385,2,11.3333333333333,2,14.75,2,12.3157894736842,2,14.9130434782609,2,17.8333333333333,2,11.6428571428571,2,11.9,2
13 min,9.91666666666667,2,8.2,2,10.0952380952381,2,7.8,2,17.3684210526316,2,10.4545454545455,2,14.2857142857143,2,14.56,2,10.1764705882353,2,10.0810810810811,2
14 min,9.98,2,6.30769230769231,2,11.3888888888889,2,11.7058823529412,2,17.3636363636364,2,13.4666666666667,2,24,2,15.2380952380952,2,7.90909090909091,2,11.0344827586207,2
15 min,8.92105263157895,2,9.36363636363636,2,9.45833333333333,2,10.952380952381,2,15.8888888888889,2,12.3888888888889,2,20.1764705882353,2,17.4166666666667,2,8.86363636363636,2,13.9230769230769,2
16 min,6.625,2,7.07142857142857,2,8.59090909090909,2,10.1666666666667,2,15.5789473684211,2,12.9375,2,18.7777777777778,2,16.25,2,6.59259259259259,2,13.84,2
17 min,11.1764705882353,2,5.86666666666667,2,10.6,2,8,2,12.28125,2,10.5238095238095,2,19,2,16.4583333333333,2,8.42857142857143,2,12.75,2
